Function,dimension,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23,try 24,try 25,try 26,try 27,try 28,try 29,try 30,average,staDev,range,median,time
Egg Holder,10,-314.998,-455.838,915.052,812.62,1706.6,-452.755,-412.353,-302.42,800.184,-543.894,-933.096,-95.6883,-1019.67,384.868,-809.348,-398.231,-801.583,546.87,402.826,658.961,-798.95,-400.445,-1291.74,-681.218,-76.0898,-379.193,1096.35,-46.6859,604.322,-739.713,-100.842,291.721,995.254,-18.2957,0.00217498s
,20,754.609,1659.71,-889.655,-623.161,-2521.5,-1211.83,30.3587,-823.358,-1388.1,-100.996,-160.612,1673.16,-1246.05,-687.257,-769.853,771.16,137.234,-1864.62,-8.22769,-2321.97,-1637.18,-2904.5,87.4937,-840.156,215.432,-1679.08,-822.599,-2122.81,970.147,1356.24,-565.6,291.208,997.961,-35.3104,0.00327179s
,30,-572.736,84.4327,-222.967,2025.82,-2509.56,-2222.41,-1086.67,-2438.07,-1927.72,-2368.58,391.424,1264.34,-2451.44,1054.39,430.245,-1729.45,-476.248,-342.988,-976.215,460.556,867.061,1646.55,-348.951,2038,-3892.16,-1545.07,-59.3621,2279.89,342.964,1929.61,-345.177,291.385,996.989,-15.5763,0.00255336s
Rana,10,166.986,-694.591,-196.337,-151.202,-354.534,474.799,34.8102,-359.447,-515.863,879.72,-284.763,454.215,931.032,844.398,993.57,926.486,933.752,-359.502,-92.0803,-169.294,1293.25,-508.423,569.611,248.307,703.842,65.4315,-552.736,-397.729,-570.5,-419.624,129.786,285.973,988.074,43.0142,0.00219976s
,20,-111.035,257.392,273.977,777.468,-40.81,-219.421,1008.52,-651.522,-612.057,441.714,525.806,-683.374,423.6,-217.618,1461.67,477.668,-169.483,520.411,-406.432,-85.0845,306.457,-1337.67,62.3794,681.455,-550.16,-108.463,-508.047,481.365,108.759,268.81,79.209,278.396,997.59,-20.2314,0.00304824s
,30,-783.946,-231.39,756.042,-225.375,307.453,-435.679,1878.38,2657.13,1024.49,1399.45,438.065,-497.673,839.926,-103.869,-1125.08,-724.983,2006.56,311.962,1427.98,2419.26,-1200.66,-1030.58,-46.5573,-344.268,-1663.25,-1538.61,-979.31,4.94027,481.175,-61.8583,165.324,288.807,997.635,4.97613,0.00383233s
Pathological,10,-0.294999,4.49383,0.550015,4.37787,0.0277521,4.47087,-1.04341,4.45484,4.10714,4.4185,1.81108,3.6903,4.45592,4.43929,4.20468,4.47741,4.25016,3.90586,0.0569847,4.29455,-5.30957,4.47366,3.22634,1.40851,-4.83805,4.46614,4.14968,-0.895895,4.03796,1.42342,2.44303,58.6211,197.936,-3.08921,0.00225903s
,20,7.99501,3.11968,9.12698,1.56172,5.5426,4.54137,8.99752,8.56177,9.05553,-7.04295,5.33506,8.19741,5.12955,4.6581,8.67348,8.88382,4.2144,9.45492,5.56939,-7.49684,8.63684,1.13144,9.42155,6.12203,5.14212,5.29316,3.30446,8.19483,6.19967,9.02271,5.55158,57.6988,199.257,-1.25466,0.00353673s
,30,10.713,9.59034,9.26614,4.89892,7.49712,0.827493,4.27081,5.67426,4.39508,8.56883,1.34028,6.29529,4.52842,0.19096,4.00372,12.6163,4.01277,1.65511,8.22102,-11.923,10.459,11.4637,-1.75879,3.00448,5.80691,5.45826,10.2753,10.4031,10.1442,-10.5541,5.04483,58.2764,199.891,-4.63035,0.00307302s
Michalewicz,10,-1.6491,-1.22251,-0.712702,-1.15665,-0.206036,-0.342623,-0.0084209,-0.582068,-1.41,-0.372761,-0.851231,-0.448097,-1.8117,-1.18102,-0.466585,-0.684037,-0.691901,-0.728506,-0.785716,-0.787307,-0.275087,-0.358256,-1.81141,-1.17409,-1.78035,-1.04187,-0.680823,-0.653771,-0.611558,-0.936743,-0.847431,1.84897,3.10992,1.51871,0.00166732s
,20,-1.48732,-1.92669,-1.26456,-1.83594,-0.792366,-0.184243,-1.42588,-3.52056,-0.0918344,-3.82106,-2.19438,-0.971643,-2.27706,-1.09675,-2.23522,-4.37685,-2.68946,-2.51467,-3.0645,-2.55235,-3.11212,-0.299719,-1.42133,-2.70288,-0.697683,-2.3103,-0.395127,-0.522026,-3.23995,-2.42233,-1.91489,1.95059,3.12857,1.63069,0.00269873s
,30,-2.30168,-4.71329,-2.68819,-4.18538,-3.48456,-4.12515,-3.63483,-0.950079,-4.82201,-4.2043,-2.68454,-2.0463,-3.13697,-3.02892,-2.70467,-3.65339,-3.15249,-2.7345,-3.45613,-3.04582,-3.47153,-2.12365,-1.75275,-3.20838,-2.98117,-4.31055,-1.73846,-3.61788,-2.27541,-3.20174,-3.11449,1.91338,3.13504,1.58115,0.00332468s
MCW,10,3.63148,-1.12839,-0.624528,-2.5078,0.727881,-0.360872,-0.493034,6.73594,2.63919,2.51949,1.66788,-1.96931,1.63121,-2.85009,1.49561,-2.79746,0.223834,-0.0325144,5.00578,-3.31259,-0.747586,0.698533,0.0462791,0.242936,-3.96518,-3.87249,-2.53378,0.510802,1.38155,-4.25763,-0.076495,18.0046,58.7136,-1.20352,0.0016221s
,20,4.56372,2.65171,1.82131,1.02901,0.503835,-1.52993,-0.88552,-0.0771345,-1.15517,2.15453,6.1933,-0.854356,-1.3957,0.431488,-2.89856,2.44015,2.93676,-5.38623,6.73844,-2.15547,4.10777,2.74572,-3.81711,0.451514,-1.86205,-3.15535,3.02135,4.80737,0.0124423,4.08143,0.850643,17.5213,59.9718,-1.93637,0.00237477s
,30,3.42443,1.45971,-0.544411,2.52851,2.41996,5.99896,0.454224,0.142638,0.0598259,2.26795,-4.72372,-0.350969,-6.42238,-2.55589,-1.8293,-6.39863,-0.632082,-1.1325,-1.92896,4.70251,5.75887,-3.07855,1.19845,1.45815,1.75714,4.48345,-5.61858,-1.27215,-2.40563,-1.00005,-0.059301,17.1178,59.8203,1.39399,0.00276541s
Shekel's FH,10,-0.00592543,-0.00576378,-0.00607174,-0.00540256,-0.00523476,-0.00561491,-0.00452289,-0.00769839,-0.00684475,-0.00425839,-0.00662702,-0.00589284,-0.00721688,-0.0063066,-0.0067706,-0.00609394,-0.00450659,-0.00469416,-0.00610138,-0.00527526,-0.00644479,-0.00405574,-0.00530511,-0.00477637,-0.00644479,-0.00592543,-0.00550568,-0.00530887,-0.0054576,-0.00464618,-0.00568978,5.76677,9.98127,4.94003,0.00346954s
